Longitude,Latitude,Pixel,Scan
22.7175274,-70.5239584,8400,200
22.7204789,-70.5238829,8500,200
22.7234313,-70.5238073,8600,200
22.7263844,-70.5237316,8700,200
22.7293382,-70.5236559,8800,200
22.7322929,-70.5235801,8900,200
22.7352483,-70.5235042,9000,200
22.7382045,-70.5234283,9100,200
22.7411615,-70.5233523,9200,200
22.7441193,-70.5232762,9300,200
22.7470778,-70.5232,9400,200
22.7500372,-70.5231238,9500,200
22.7529973,-70.5230475,9600,200
22.7559582,-70.5229712,9700,200
22.7589199,-70.5228948,9800,200
22.7618823,-70.5228183,9900,200
22.7648456,-70.5227417,10000,200
22.7678096,-70.5226651,10100,200
22.7707744,-70.5225884,10200,200
22.77374,-70.5225117,10300,200
22.7767064,-70.5224348,10400,200
22.7796735,-70.5223579,10500,200
22.7826415,-70.522281,10600,200
22.7856102,-70.5222039,10700,200
22.7885797,-70.5221268,10800,200
22.79155,-70.5220496,10900,200
22.7945211,-70.5219724,11000,200
22.797493,-70.5218951,11100,200
22.8004656,-70.5218177,11200,200
22.8034391,-70.5217402,11300,200
22.8064133,-70.5216627,11400,200
22.8093883,-70.5215851,11500,200
22.8123642,-70.5215074,11600,200
22.8153408,-70.5214297,11700,200
22.8183181,-70.5213519,11800,200
22.8212963,-70.521274,11900,200
22.8242455,-70.5211969,11999,200
22.4725304,-70.5309604,0,300
22.475418,-70.5308904,100,300
22.4783063,-70.5308204,200,300
22.4811953,-70.5307503,300,300
22.4840851,-70.5306801,400,300
22.4869756,-70.5306099,500,300
22.4898669,-70.5305396,600,300
22.4927589,-70.5304693,700,300
22.4956517,-70.5303989,800,300
22.4985452,-70.5303284,900,300
22.5014395,-70.5302579,1000,300
22.5043346,-70.5301873,1100,300
22.5072304,-70.5301166,1200,300
22.5101269,-70.5300458,1300,300
22.5130242,-70.529975,1400,300
22.5159223,-70.5299042,1500,300
22.5188211,-70.5298332,1600,300
22.5217207,-70.5297622,1700,300
22.524621,-70.5296912,1800,300
22.5275221,-70.5296201,1900,300
22.5304239,-70.5295489,2000,300
22.5333265,-70.5294776,2100,300
22.5362298,-70.5294063,2200,300
22.5391339,-70.5293349,2300,300
22.5420388,-70.5292634,2400,300
22.5449444,-70.5291919,2500,300
22.5478508,-70.5291203,2600,300
22.5507579,-70.5290487,2700,300
22.5536658,-70.528977,2800,300
22.5565744,-70.5289052,2900,300
22.5594838,-70.5288333,3000,300
22.562394,-70.5287614,3100,300
22.5653049,-70.5286894,3200,300
22.5682166,-70.5286174,3300,300
22.5711291,-70.5285453,3400,300
22.5740423,-70.5284731,3500,300
22.5769562,-70.5284009,3600,300
